userId,productId,rating,timestamp
U00000,P00592,5,1407133074
U00000,P01582,4,1417327224
U00001,P01680,1,1460144329
U00002,P01366,5,1404840459
U00002,P01796,5,1418696830
U00002,P00592,4,1405609366
U00002,P00426,4,1455863236
U00003,P01774,5,1431976637
U00004,P01203,1,1415548509
U00004,P00763,5,1478763398
U00004,P00804,5,1474422453
U00005,P01719,4,1406805060
U00005,P00592,4,1443731703
U00005,P00426,3,1485009204
U00005,P01850,4,1488266032
U00005,P01366,1,1414110617
U00005,P01782,5,1467940517
U00005,P01495,5,1455791516
U00005,P00983,5,1437841062
U00005,P01167,5,1468171331
U00005,P01060,4,1463773075
U00005,P00192,5,1412023020
U00005,P00643,3,1449662087
U00005,P01585,3,1416993144
U00005,P00688,5,1410230661
U00005,P00912,2,1428050645
U00005,P01403,4,1424105705
U00005,P01806,3,1409817103
U00005,P01959,5,1462415546
U00005,P00973,4,1409271569
U00005,P00627,5,1428914687
U00005,P00385,4,1484204942
U00005,P00935,4,1482362831
U00005,P00442,5,1491036764
U00005,P00583,5,1434473851
U00005,P01853,4,1410492836
U00005,P00435,4,1461657758
U00005,P00712,3,1451168608
U00005,P01796,3,1452438119
U00005,P00448,4,1431646748
U00005,P01864,5,1433557900
U00005,P01566,2,1407753653
U00005,P01945,4,1467174947
U00005,P01881,2,1493084546
U00005,P00564,5,1429505636
U00005,P00809,4,1421547944
U00005,P00415,4,1440268392
U00005,P01240,4,1429295842
U00005,P00917,5,1420961268
U00005,P01659,3,1483527422
U00005,P01485,3,1478629585
U00005,P00593,5,1404722408
U00005,P00850,3,1484196062
U00005,P01325,5,1489795893
U00005,P00407,1,1407405396
U00005,P00064,5,1474713522
U00005,P01582,5,1482554104
U00005,P00213,2,1468365783
U00005,P01631,3,1465183537
U00005,P01713,4,1414714486
U00005,P00772,4,1424173532
U00005,P01479,3,1462781923
U00005,P00697,5,1428516502
U00005,P01540,5,1459948418
U00005,P00154,5,1479232863
U00005,P01011,1,1425811339
U00005,P01137,3,1410348923
U00005,P00005,5,1420947292
U00005,P01957,4,1488741958
U00005,P00875,5,1486939649
U00005,P00410,4,1414836870
U00005,P01098,5,1408548555
U00005,P01033,2,1439987258
U00005,P01412,3,1420309315
U00005,P01271,5,1467787658
U00005,P00498,4,1479686422
U00005,P00271,5,1480264981
U00005,P00075,3,1468143880
U00005,P00131,5,1409314502
U00005,P01828,5,1480972183
U00005,P01982,2,1408304860
U00005,P00612,4,1470673644
U00005,P00196,5,1409049919
U00005,P01572,2,1453585185
U00005,P00817,2,1476164999
U00005,P01118,3,1469333326
U00005,P01004,4,1417665796
U00005,P01337,5,1401414466
U00005,P00547,5,1465642255
U00005,P00230,5,1417596962
U00005,P00054,4,1450089069
U00006,P01366,5,1451859347
U00007,P00592,2,1429292026
U00008,P00592,2,1466688588
U00009,P01405,3,1435498387
U00009,P00973,5,1490387569
U00009,P00592,2,1484107599
U00009,P00202,4,1455824668
U00009,P00922,4,1486778815
U00009,P00442,4,1432923613
U00009,P00772,5,1439889071
U00009,P01719,5,1477980746
U00009,P00426,5,1423282710
U00009,P01366,4,1420323796
U00009,P00084,5,1403381281
U00009,P01208,3,1426111683
U00009,P00905,5,1406641319
U00009,P01403,5,1454765954
U00009,P00887,3,1421903634
U00009,P01996,5,1471286833
U00009,P01850,4,1413550555
U00009,P01774,5,1423468659
U00009,P00154,5,1444590535
U00009,P00395,3,1413372911
U00009,P01335,5,1425147217
U00009,P01806,5,1416946856
U00009,P00640,4,1438892680
U00009,P00697,5,1429908620
U00009,P01137,4,1455591171
U00009,P01495,5,1458778382
U00009,P01412,5,1488387786
U00009,P00435,3,1460012509
U00009,P00127,4,1493851346
U00009,P01084,5,1429596474
U00009,P01196,5,1455014811
U00009,P00402,5,1480427044
U00009,P00929,4,1484113015
U00009,P00549,4,1431222324
U00009,P01841,5,1442713873
U00009,P00448,5,1494341910
U00009,P01464,3,1461104054
U00009,P00959,2,1442884859
U00009,P00048,2,1422866887
U00009,P00951,4,1454648902
U00009,P00286,4,1462554723
U00009,P01256,5,1468521411
U00009,P01054,5,1485289488
U00009,P01525,4,1454994643
U00009,P00528,5,1465287032
U00009,P00935,4,1462393644
U00009,P00555,5,1482719534
U00009,P01796,5,1401205290
U00009,P00983,5,1486264019
U00009,P01381,4,1487138293
U00009,P00203,3,1436355296
U00009,P00075,5,1403121754
U00009,P00498,5,1403910936
U00009,P01341,5,1406330386
U00009,P01061,3,1414898793
U00009,P00643,5,1419963714
U00009,P01243,5,1456187808
U00009,P00145,5,1485865152
U00009,P01659,4,1479475490
U00009,P01050,5,1432381855
U00009,P01240,5,1417648459
U00009,P00551,5,1475504058
U00009,P00195,4,1453176461
U00009,P01118,4,1465837792
U00009,P01582,4,1485233456
U00009,P00824,4,1494185584
U00009,P00054,5,1440576901
U00009,P00064,4,1450326407
U00009,P00437,2,1414094233
U00009,P01404,5,1435733432
U00009,P01167,5,1492139309
U00009,P01782,4,1422047424
U00009,P00537,5,1474815459
U00009,P01846,3,1483993656
U00009,P01857,5,1430149263
U00009,P00806,5,1464163891
U00009,P00220,4,1459449384
U00009,P01433,5,1471883651
U00009,P00612,5,1459084641
U00009,P01578,5,1473851484
U00010,P01180,5,1493649528
